"Nome do diálogo","Tempos acionados","Usuários","Sessões","Início da sessão [%]","Término da sessão [%]","Sessões expiradas","Fechar sessão","Ir para a ação do agente","Aquisição do agente"
"(PREMI) FAQ Prazo de Resgate",170,134,152,0,0.01532033426183844,22,"","",""
"(PREMIAÇÃO) Fluxo Final",89,81,82,0,0.018802228412256268,27,"","",""
"(PREMIAÇÃO) Fluxo Inicial",661,469,548,0,0.00766016713091922,11,"","",""
"(Premi) Catalogo",16,15,15,0,0.0,"","","",""
"(Premi) FAQ de Resgate",220,166,180,0,0.034818941504178275,50,"","",""
"(Premi) problemas de resgates",352,240,265,0,0.009749303621169917,14,"","",""
"(RECUPERAÇÃO DE SENHA) Fluxo Final",57,49,57,0,0.03969359331476323,"",57,"",""
"(RECUPERAÇÃO DE SENHA) Fluxo Inicial",80,70,80,0,0.0,"","","",""
"(dados) Fluxo inicial",459,301,382,0,0.013927576601671309,20,"","",""
"+OPÇÕES",3,3,3,0,0.0006963788300835655,1,"","",""
"10 Sales List",187,115,139,0,0.016016713091922007,23,"","",""
"APP",1,1,1,0,0.0,"","","",""
"Atribuir Fornecedor",441,357,439,0,0.004874651810584958,7,"","",""
"Atribuir dados do Usuário",1152,888,1148,0,0.0,"","","",""
"Boas Vindas",1526,1060,1448,1,0.0,"","","",""
"Buscar CampaignUser",35,24,34,0,0.0,"","","",""
"Buscar Fornecedores",1150,888,1148,0,0.0,"","","",""
"Buscar Premios",14,14,14,0,0.0,"","","",""
"Buscar Realms do usuário (CPF)",475,365,475,0,0.0,"","","",""
"Buscar Realms do usuário (Celular)",1304,993,1302,0,0.0,"","","",""
"Buscar Usuário CPF",424,330,424,0,0.0,"","","",""
"Buscar Usuário Celular",731,565,729,0,0.0,"","","",""
"Buscar Venda por ID",101,34,36,0,0.009749303621169917,14,"","",""
"Buscar last 10 vendas",165,139,164,0,0.0,"","","",""
"CPF",2,2,2,0,0.0,"","","",""
"Confirmar o APP",1272,974,1264,0,0.004874651810584958,7,"","",""
"Consultar Prêmio",200,83,94,0,0.014623955431754874,21,"","",""
"Contestação de Meta",16,14,15,0,0.0006963788300835655,1,"","",""
"Duvidas",241,152,165,0,0.0201949860724234,29,"","",""
"E-mail",1,1,1,0,0.0,"","","",""
"Empresa",3,3,3,0,0.0,"","","",""
"Está correto?",146,111,132,0,0.0,"","","",""
"FAQ PIX",82,74,75,0,0.0,"","","",""
"FAQ Regulamento",4,4,4,0,0.0,"","","",""
"Gerar Token",107,92,107,0,0.0,"","","",""
"Horario e Email 2",378,333,354,0,0.24651810584958217,8,"",346,""
"Info sobre o bot",1528,1060,1449,0,0.07242339832869081,85,19,"",""
"Informações erradas",11,10,10,0,0.0006963788300835655,1,"","",""
"Manager?",272,226,269,0,0.0,"","","",""
"MetaPlaceholder?",140,115,139,0,0.0,"","","",""
"No histórico?",235,197,232,0,0.0020891364902506965,3,"","",""
"Não sei meu ID",140,115,139,0,0.0,"","","",""
"PossiveisAPP",1346,1019,1344,0,0.0,"","","",""
"Posso ajudar em algo mais ?",206,159,162,0,0.02576601671309192,19,18,"",""
"Prazo Prêmio",16,15,16,0,0.003481894150417827,2,3,"",""
"Prazo de validação",141,119,129,0,0.0,"","","",""
"Qual Categoria",1602,974,1271,0,0.014623955431754874,21,"","",""
"Recuperar Senha",80,70,80,0,0.0,"","","",""
"Triagem",148,120,144,0,0.008356545961002786,12,"","",""
"Validar CPF",483,369,483,0,0.0020891364902506965,3,"","",""
"Validar Chave",1363,1019,1344,0,0.02924791086350975,42,"","",""
"VendaId",34,20,22,0,0.0006963788300835655,1,"","",""
"Verificação de horario",843,658,839,0,0.1935933147632312,1,256,21,""
"Voltar à lista ?",110,66,83,0,0.0020891364902506965,3,"","",""
"[Camp] Fluxo Final",23,22,22,0,0.003481894150417827,3,2,"",""
"[Camp] Fluxo inicial",95,68,80,0,0.003481894150417827,5,"","",""
"[Camp]Prazo de validação",18,18,18,0,0.0,"","","",""
"[Protocol] E dois",112,90,100,0,0.06685236768802229,30,"",66,""
"[Protocol] E null",224,190,211,0,0.07590529247910864,26,"",83,""
"[Vendas] Fluxo Final",164,135,149,0,0.02924791086350975,14,28,"",""
"[Vendas] Fluxo Final humano",243,197,243,0,0.0,"","","",""
"[Vendas] Fluxo Inicial",447,300,362,0,0.006267409470752089,9,"","",""
"troca de loja",54,42,47,0,0.001392757660167131,2,"","",""
