Nome_dialogo,Tempos acionados,Qtde_usuarios,Qtde_sessoes,Início da sessão [%],Término da sessão [%],Sessoes_expiradas,Qtde_encerrar_sessao,Qtde_ir_para_agente,Qtde_intervencao_humana
(PREMI) FAQ Prazo de Resgate,243,186,200,0,0.0173046670162559,33.0,,,
(PREMIAÇÃO) Fluxo Final,134,108,113,0,0.0246460409019402,47.0,,,
(PREMIAÇÃO) Fluxo Inicial,858,568,674,0,0.0062926061877294,12.0,,,
(Premi) Catalogo,18,18,18,0,0.0,,,,
(Premi) FAQ de Resgate,263,187,217,0,0.0235972732039853,45.0,,,
(Premi) problemas de resgates,484,299,348,0,0.0062926061877294,12.0,,,
(RECUPERAÇÃO DE SENHA) Fluxo Final,111,85,111,0,0.0582066072364971,,111.0,,
(RECUPERAÇÃO DE SENHA) Fluxo Inicial,162,124,162,0,0.0,,,,
(dados) Fluxo inicial,662,412,542,0,0.0214997378080755,41.0,,,
+OPÇÕES,2,2,2,0,0.0,,,,
10 Sales List,126,73,83,0,0.0099632931305715,19.0,,,
APP,2,2,2,0,0.0,,,,
Atribuir Fornecedor,510,394,500,0,0.0036706869428421,7.0,,,
Atribuir dados do Usuário,1526,1128,1516,0,0.0,,,,
Boas Vindas,2059,1342,1918,1,0.0,,,,
Buscar CampaignUser,51,34,45,0,0.0,,,,
Buscar Fornecedores,1526,1128,1516,0,0.0,,,,
Buscar Realms do usuário (CPF),615,437,615,0,0.0,,,,
Buscar Realms do usuário (Celular),1705,1250,1695,0,0.0,,,,
Buscar Usuário CPF,566,403,566,0,0.0,,,,
Buscar Usuário Celular,960,728,950,0,0.0,,,,
Buscar Venda por ID,73,21,25,0,0.0052438384897745,10.0,,,
Buscar last 10 vendas,115,102,113,0,0.0,,,,
CPF,5,5,5,0,0.0,,,,
Confirmar o APP,1684,1225,1651,0,0.0068169900367068,13.0,,,
Consultar Prêmio,192,102,112,0,0.0194022024121657,37.0,,,
Contestação de Meta,38,27,32,0,0.0,,,,
Duvidas,286,178,192,0,0.0214997378080755,41.0,,,
E-mail,1,1,1,0,0.0,,,,
Empresa,4,4,4,0,0.0,,,,
Está correto?,173,134,152,0,0.0,,,,
FAQ PIX,126,103,111,0,0.0,,,,
FAQ Regulamento,7,5,6,0,0.0,,,,
Gerar Token,112,102,112,0,0.0,,,,
Horario e Email 2,375,330,357,0,0.1872050340849501,3.0,,354.0,
Info sobre o bot,2059,1343,1920,0,0.0980597797587834,147.0,40.0,,
Informações erradas,18,12,12,0,0.0,,,,
Manager?,228,197,224,0,0.0,,,,
MetaPlaceholder?,85,73,83,0,0.0,,,,
No histórico?,195,168,191,0,0.0,,,,
Nome,3,2,2,0,0.0,,,,
Não sei meu ID,85,73,83,0,0.0,,,,
PossiveisAPP,1747,1277,1736,0,0.0,,,,
Posso ajudar em algo mais ?,338,208,222,0,0.0298898793917147,26.0,31.0,,
Prazo Prêmio,32,25,32,0,0.0073413738856843,,14.0,,
Prazo de validação,142,126,134,0,0.0,,,,
Qual Categoria,2141,1224,1661,0,0.0283167278447823,54.0,,,
Recuperar Senha,162,124,162,0,0.0015731515469323,3.0,,,
Triagem,163,142,162,0,0.0052438384897745,10.0,,,
Validar CPF,634,448,634,0,0.0020975353959098,4.0,,,
Validar Chave,1762,1277,1736,0,0.0220241216570529,42.0,,,
VendaId,21,14,16,0,0.0010487676979549,2.0,,,
Verificação de horario,1035,802,1028,0,0.1851074986890404,2.0,312.0,39.0,
Voltar à lista ?,58,39,41,0,0.0010487676979549,2.0,,,
[Camp] Fluxo Final,29,25,26,0,0.0036706869428421,3.0,4.0,,
[Camp] Fluxo inicial,95,73,77,0,0.0015731515469323,3.0,,,
[Camp]Prazo de validação,20,20,20,0,0.0,,,,
[Protocol] E dois,147,123,136,0,0.0702674357629785,36.0,,98.0,
[Protocol] E null,395,285,319,0,0.0949134766649187,56.0,,125.0,
[Vendas] Fluxo Final,186,158,169,0,0.0241216570529627,29.0,17.0,,
[Vendas] Fluxo Final humano,208,181,208,0,0.0,,,,
[Vendas] Fluxo Inicial,505,316,367,0,0.010487676979549,20.0,,,
troca de loja,65,46,48,0,0.0015731515469323,3.0,,,
