nome_dialogo,qtde_sessoes,sessoes_expiradas,qtde_ir_para_agente,qtde_intervencao_humana,qtde_encerrar_sessao
(PREMI) FAQ Prazo de Resgate,153,26.0,,,
(PREMIAÇÃO) Fluxo Final,82,38.0,,,
(PREMIAÇÃO) Fluxo Inicial,502,12.0,,,
(Premi) Catalogo,16,,,,
(Premi) FAQ de Resgate,147,43.0,,,
(Premi) problemas de resgates,236,10.0,,,
(RECUPERAÇÃO DE SENHA) Fluxo Final,64,,,,64.0
(RECUPERAÇÃO DE SENHA) Fluxo Inicial,94,,,,
(dados) Fluxo inicial,405,24.0,,,
+OPÇÕES,1,,,,
10 Sales List,91,13.0,,,
APP,3,,,,
Atribuir Fornecedor,430,5.0,,,
Atribuir dados do Usuário,1109,,,,
Boas Vindas,1416,,,,
Buscar CampaignUser,35,,,,
Buscar Fornecedores,1109,,,,
Buscar Premios,2,,,,
Buscar Realms do usuário (CPF),453,,,,
Buscar Realms do usuário (Celular),1276,,,,
Buscar Usuário CPF,418,,,,
Buscar Usuário Celular,692,,,,
Buscar Venda por ID,30,10.0,,,
Buscar last 10 vendas,112,,,,
CPF,3,,,,
Confirmar o APP,1248,6.0,,,
Consultar Prêmio,89,27.0,,,
Contestação de Meta,18,,,,
Duvidas,166,28.0,,,
E-mail,4,,,,
Empresa,1,,,,
Está correto?,148,,,,
FAQ PIX,66,,,,
FAQ Regulamento,9,,,,
Gerar Token,91,,,,
Horario e Email 2,291,1.0,290.0,,
Info sobre o bot,1416,70.0,,,34.0
Informações erradas,12,,,,
Manager?,212,,,,
MetaPlaceholder?,91,,,,
No histórico?,182,,,,
Nome,2,,,,
Não sei meu ID,91,,,,
PossiveisAPP,1313,,,,
Posso ajudar em algo mais ?,148,24.0,,,20.0
Prazo Prêmio,25,,,,10.0
Prazo de validação,130,,,,
Qual Categoria,1251,24.0,,,
Recuperar Senha,94,3.0,,,
Triagem,159,10.0,,,
Validar CPF,461,2.0,,,
Validar Chave,1313,34.0,,,
VendaId,21,3.0,,,
Verificação de horario,797,1.0,23.0,,234.0
Voltar à lista ?,50,1.0,,,
[Camp] Fluxo Final,21,,,,3.0
[Camp] Fluxo inicial,72,2.0,,,
[Camp]Prazo de validação,12,,,,
[Protocol] E dois,106,32.0,72.0,,
[Protocol] E null,248,47.0,93.0,,
[Vendas] Fluxo Final,161,19.0,,,25.0
[Vendas] Fluxo Final humano,196,,,,
[Vendas] Fluxo Inicial,334,14.0,,,
troca de loja,40,2.0,,,
